order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDY09259,2018-12-21,19:39:43,Dinner,TP,"[('Salmon', 4), ('Pasta', 4), ('Fish&Chips', 6)]",484.0,-37.819176399999996,144.95783269999998,0,7.989,12.4919363
ORDJ00304,2018-03-09,10:11:49,Breakfast,TP,"[('Eggs', 6), ('Pancake', 8), ('Cereal', 2)]",368.0,-37.814162700000004,144.9776608,0,8.806000000000001,17.304140699999998
ORDY01872,2018-06-13,13:24:30,Lunch,TP,"[('Burger', 2), ('Fries', 9), ('Salad', 8)]",307.6,-37.8266136,144.98172390000002,0,9.23,12.6145913
ORDB09646,2018-11-13,18:28:43,Dinner,TP,"[('Pasta', 7), ('Shrimp', 1), ('Salmon', 5)]",451.5,-37.8215407,144.9449527,0,9.166,13.310369400000003
ORDZ02967,2018-06-01,12:54:05,Lunch,NS,"[('Chicken', 1), ('Steak', 10), ('Burger', 1)]",513.0,-37.827676200000006,144.984998,0,10.792,16.0428648
ORDA07684,2018-12-02,19:09:17,Dinner,BK,"[('Salmon', 5), ('Pasta', 9), ('Fish&Chips', 4), ('Shrimp', 6)]",916.5,-37.8015927,144.958135,0,8.353,17.9253909
ORDB09206,2018-11-03,18:08:27,Dinner,TP,"[('Fish&Chips', 4), ('Shrimp', 4), ('Salmon', 2)]",438.0,-37.7993751,145.01088190000002,0,12.802999999999999,17.5574171
ORDA05213,2018-06-20,13:34:38,Lunch,BK,"[('Fries', 5), ('Burger', 10), ('Steak', 2), ('Chicken', 8), ('Salad', 2)]",750.4,-37.8246042,144.95834150000002,0,9.005,14.924288
ORDJ05013,2018-03-15,10:21:58,Breakfast,TP,"[('Coffee', 7), ('Eggs', 9), ('Pancake', 2)]",299.0,-37.8196791,144.9816751,0,9.011000000000001,11.790935000000001
ORDY11023,2018-11-09,18:18:35,Dinner,TP,"[('Shrimp', 5), ('Fish&Chips', 6), ('Pasta', 7)]",672.5,-37.8155278,144.951093,0,8.927,12.9655592
ORDX03768,2018-11-22,18:49:00,Dinner,BK,"[('Shrimp', 6), ('Pasta', 7)]",516.5,-37.811353499999996,144.9731957,0,6.791,13.6589397
ORDK09617,2018-12-30,20:00:00,Dinner,BK,"[('Salmon', 8), ('Pasta', 5)]",465.5,-37.8162012,144.93739580000002,0,9.993,19.5188476
ORDB07474,2018-05-03,12:03:22,Lunch,TP,"[('Fries', 6), ('Chicken', 3), ('Burger', 7), ('Steak', 1)]",430.0,-37.8116535,144.96394980000002,0,8.365,12.1695207
ORDJ06242,2018-09-30,16:57:27,Dinner,TP,"[('Salmon', 1), ('Pasta', 6)]",206.0,-37.8240241,144.99063280000001,0,9.592,15.193319
ORDC07755,2018-04-20,11:32:57,Breakfast,NS,"[('Cereal', 6), ('Eggs', 4), ('Pancake', 1)]",238.25,-37.81858,144.9533978,0,9.204,14.505813199999999
ORDJ09656,2018-12-26,19:49:51,Dinner,TP,"[('Shrimp', 1), ('Pasta', 2)]",109.0,-37.80473189999999,144.9576634,0,9.242,13.190029800000001
ORDX03759,2018-01-18,08:30:25,Breakfast,BK,"[('Pancake', 3), ('Eggs', 9)]",270.75,-37.800036,144.9633442,1,8.068999999999999,6.1184803
ORDB05938,2018-02-21,09:41:24,Breakfast,TP,"[('Coffee', 2), ('Cereal', 3), ('Eggs', 6), ('Pancake', 2)]",258.5,-37.8195613,144.95647659999997,0,8.117,10.4185994
ORDJ04171,2018-11-01,18:08:27,Dinner,TP,"[('Pasta', 6), ('Fish&Chips', 1)]",200.0,-37.8253837,144.9815371,0,8.999,13.364629500000001
ORDY01541,2018-07-16,14:25:21,Lunch,TP,"[('Fries', 5), ('Burger', 9), ('Chicken', 2)]",403.0,-37.8002284,144.9848519,0,10.714,14.085242800000001
ORDZ02859,2018-07-15,14:25:21,Lunch,NS,"[('Burger', 7), ('Fries', 1), ('Steak', 2), ('Chicken', 8), ('Salad', 7)]",695.4,-37.8021603,144.9666228,0,6.582000000000001,13.680512799999999
ORDK08643,2018-11-22,18:49:00,Dinner,BK,"[('Fish&Chips', 1), ('Salmon', 4), ('Pasta', 6)]",364.0,-37.8114812,144.9732528,0,6.807,13.5526578
ORDK10948,2018-09-13,16:27:02,Dinner,BK,"[('Shrimp', 10), ('Fish&Chips', 7), ('Pasta', 10), ('Salmon', 3)]",1183.0,-37.804741799999995,145.0110667,0,4.027,11.0166845
ORDI02934,2018-12-17,19:39:43,Dinner,NS,"[('Shrimp', 10), ('Salmon', 5)]",745.0,-37.8070396,144.94985119999998,0,8.601,14.269669
ORDC01700,2018-02-10,09:10:59,Breakfast,NS,"[('Coffee', 6), ('Cereal', 5)]",150.0,-37.8233265,144.960753,0,9.3,16.175150199999997
ORDZ07340,2018-03-20,10:32:06,Breakfast,NS,"[('Eggs', 7), ('Cereal', 8), ('Pancake', 3), ('Coffee', 8)]",454.75,-37.8099171,144.95821619999998,0,7.971,13.4405726
ORDJ07471,2018-03-21,10:32:06,Breakfast,TP,"[('Cereal', 2), ('Coffee', 8), ('Eggs', 1)]",124.0,-37.812906,144.9598981,0,8.457,10.690508099999999
ORDB00055,2018-04-10,11:12:40,Breakfast,TP,"[('Pancake', 4), ('Cereal', 5)]",202.0,-37.8046445,144.93985969999997,0,10.512,12.6186448
ORDX02549,2018-05-09,12:13:31,Lunch,BK,"[('Burger', 3), ('Steak', 8)]",453.0,-37.800385299999995,144.9894761,0,6.021,11.7450463
ORDY01379,2018-12-24,19:49:51,Dinner,TP,"[('Shrimp', 10), ('Fish&Chips', 5)]",715.0,-37.8051664,144.95761240000002,0,9.216000000000001,13.1489831
ORDX09475,2018-09-01,15:56:37,Lunch,BK,"[('Salad', 9), ('Burger', 10), ('Fries', 8), ('Steak', 6)]",830.8,-37.8172191,144.9532949,0,8.669,16.541836
ORDX09425,2018-08-19,15:36:20,Lunch,BK,"[('Burger', 2), ('Chicken', 2), ('Steak', 2), ('Salad', 10)]",388.0,-37.8139949,144.96440769999998,0,7.626,16.1959487
ORDJ04703,2018-09-03,16:06:45,Dinner,TP,"[('Salmon', 4), ('Pasta', 10), ('Shrimp', 6), ('Fish&Chips', 9)]",1078.0,-37.8134372,144.9463922,0,9.54,13.3170115
ORDJ01574,2018-06-21,13:34:38,Lunch,TP,"[('Burger', 5), ('Steak', 5), ('Salad', 3), ('Chicken', 5)]",591.6,-37.799825,144.9639739,0,9.775,13.0844994
ORDK07179,2018-04-26,11:43:05,Breakfast,BK,"[('Eggs', 4), ('Coffee', 3), ('Cereal', 9)]",299.5,-37.8182336,144.9652288,0,7.6370000000000005,12.562451800000002
ORDC04326,2018-11-21,18:49:00,Dinner,NS,"[('Pasta', 3), ('Shrimp', 8), ('Salmon', 7), ('Fish&Chips', 9)]",1116.5,-37.8184492,144.9904138,0,9.378,15.1904832
ORDA05009,2018-02-14,09:21:07,Breakfast,BK,"[('Eggs', 7), ('Pancake', 6), ('Coffee', 4)]",329.5,-37.8207972,144.9942398,0,5.5329999999999995,10.4983986
ORDX03606,2018-12-24,19:49:51,Dinner,BK,"[('Shrimp', 9), ('Fish&Chips', 1)]",521.0,-37.8191051,145.0037948,0,4.548,10.9040399
ORDI03538,2018-06-15,13:24:30,Lunch,NS,"[('Salad', 9), ('Chicken', 5)]",314.8,-37.8073234,144.9975737,0,8.984,14.2822327
ORDX03190,2018-02-06,09:10:59,Breakfast,BK,"[('Cereal', 6), ('Eggs', 3), ('Coffee', 3), ('Pancake', 9)]",432.75,-37.8004687,144.9807587,0,6.725,11.2416351
ORDI04824,2018-11-27,18:59:09,Dinner,NS,"[('Salmon', 5), ('Pasta', 6), ('Shrimp', 10)]",910.0,-37.8167555,145.0093017,0,10.797,16.864009600000003
ORDZ03858,2018-06-03,13:04:13,Lunch,NS,"[('Salad', 1), ('Chicken', 7)]",241.2,-37.807412400000004,144.9985205,0,9.068999999999999,16.3278376
ORDK07013,2018-02-09,09:10:59,Breakfast,BK,"[('Cereal', 2), ('Eggs', 6)]",174.0,-37.7992809,144.9592806,0,8.425,13.1704508
ORDI10833,2018-09-19,16:37:10,Dinner,NS,"[('Salmon', 4), ('Shrimp', 2)]",272.0,-37.8222526,144.94994230000003,0,9.806000000000001,15.7816063
ORDI07301,2018-03-21,10:32:06,Breakfast,NS,"[('Coffee', 1), ('Eggs', 1)]",29.5,-37.815943700000005,144.9609659,0,8.41,13.785380900000002
ORDC10630,2018-02-07,09:10:59,Breakfast,NS,"[('Cereal', 8), ('Coffee', 5), ('Eggs', 1)]",227.5,-37.816804,144.9506582,0,9.62,14.716619099999999
ORDX02423,2018-01-31,09:00:50,Breakfast,BK,"[('Coffee', 1), ('Pancake', 9)]",225.75,-37.820153000000005,144.9642966,0,8.086,13.4701452
ORDJ04629,2018-07-12,14:15:12,Lunch,TP,"[('Chicken', 10), ('Burger', 4), ('Fries', 6), ('Steak', 9)]",921.0,-37.8091336,144.9682986,0,8.954,12.8606571
ORDI02200,2018-04-27,11:43:05,Breakfast,NS,"[('Eggs', 4), ('Pancake', 6), ('Coffee', 2)]",248.5,-37.8119045,145.0035363,0,9.883,14.8287584
ORDB01727,2018-10-28,17:58:18,Dinner,TP,"[('Pasta', 8), ('Salmon', 5), ('Shrimp', 3), ('Fish&Chips', 1)]",622.0,-37.8093704,144.9484582,0,9.589,15.222149400000001
ORDB06820,2018-06-11,13:14:21,Lunch,TP,"[('Chicken', 2), ('Burger', 3), ('Salad', 7), ('Steak', 2)]",367.4,-37.8049059,144.99376759999998,0,11.12,14.354436999999999
ORDX07329,2018-09-25,16:47:19,Dinner,BK,"[('Fish&Chips', 9), ('Shrimp', 5)]",585.0,-37.8246293,144.9888236,0,6.569,13.4187258
ORDZ08272,2018-04-02,11:02:32,Breakfast,NS,"[('Pancake', 2), ('Coffee', 6)]",93.5,-37.813359000000005,144.95136509999998,0,8.603,13.219734699999998
ORDY02404,2018-07-04,14:05:04,Lunch,TP,"[('Salad', 10), ('Burger', 3), ('Steak', 8)]",625.0,-37.7990374,144.9357658,0,13.522,16.352403699999996
ORDK02073,2018-04-27,11:43:05,Breakfast,BK,"[('Pancake', 8), ('Coffee', 5), ('Eggs', 5)]",341.5,-37.801733399999996,144.94168259999998,0,9.492,14.306881900000002
ORDK04944,2018-08-05,15:05:54,Lunch,BK,"[('Chicken', 8), ('Fries', 10), ('Salad', 7)]",496.4,-37.8056525,144.9309168,0,10.485,18.857938100000002
ORDJ01152,2018-12-20,19:39:43,Dinner,TP,"[('Fish&Chips', 5), ('Shrimp', 7)]",553.0,-37.806433,144.9615085,0,9.027000000000001,13.547955400000001
ORDB04571,2018-10-03,17:07:36,Dinner,TP,"[('Shrimp', 7), ('Pasta', 2)]",433.0,-37.8025886,144.96313600000002,0,9.498,13.5890562
ORDJ00562,2018-03-15,10:21:58,Breakfast,TP,"[('Eggs', 3), ('Coffee', 6), ('Cereal', 5), ('Pancake', 3)]",288.75,-37.8197522,144.98503190000002,0,9.26,11.974326699999999
ORDC09508,2018-10-12,17:27:53,Dinner,NS,"[('Shrimp', 9), ('Fish&Chips', 3), ('Pasta', 5), ('Salmon', 4)]",892.5,-37.819532200000005,144.9617304,0,8.905,14.875960300000001
ORDK11105,2018-07-22,14:35:29,Lunch,BK,"[('Fries', 1), ('Chicken', 6)]",204.0,-37.814730700000005,144.96525219999998,0,7.598,16.1456013
ORDJ10689,2018-10-08,17:17:44,Dinner,TP,"[('Salmon', 10), ('Fish&Chips', 3), ('Shrimp', 5)]",785.0,-37.8116941,144.95633769999998,0,8.662,12.300775400000001
ORDY06436,2018-07-19,14:35:29,Lunch,TP,"[('Steak', 7), ('Chicken', 2), ('Burger', 4), ('Fries', 5)]",563.0,-37.8115093,144.96867680000003,0,8.647,12.232405199999999
ORDB08477,2018-07-11,14:15:12,Lunch,TP,"[('Burger', 3), ('Steak', 3), ('Chicken', 7), ('Salad', 1), ('Fries', 8)]",565.2,-37.8282286,144.98580880000003,0,9.172,12.369197999999999
ORDA05510,2018-05-05,12:03:22,Lunch,BK,"[('Burger', 1), ('Chicken', 2), ('Steak', 2), ('Salad', 6), ('Fries', 1)]",300.2,-37.7997371,144.9348231,0,12.282,21.177262600000002
ORDK06541,2018-08-13,15:26:11,Lunch,BK,"[('Burger', 7), ('Fries', 3), ('Chicken', 2), ('Steak', 6)]",587.0,-37.799783000000005,144.9633493,0,8.141,14.2068749
ORDC09994,2018-04-01,10:52:23,Breakfast,NS,"[('Cereal', 10), ('Pancake', 1)]",234.25,-37.8189792,144.96254580000002,0,8.738999999999999,15.5497395
ORDC07707,2018-05-04,12:03:22,Lunch,NS,"[('Salad', 4), ('Chicken', 1), ('Steak', 10), ('Burger', 2), ('Fries', 2)]",636.8,-37.8001131,144.93530959999998,0,6.629,12.6669627
ORDC04016,2018-04-10,11:12:40,Breakfast,NS,"[('Coffee', 10), ('Cereal', 9), ('Eggs', 2), ('Pancake', 2)]",356.5,-37.7990528,144.9727542,0,6.376,11.432625300000002
ORDA04910,2018-10-17,17:38:01,Dinner,BK,"[('Pasta', 4), ('Shrimp', 1), ('Salmon', 10)]",574.0,-37.802407,144.9507715,0,8.76,16.1260343
ORDA03334,2018-11-28,18:59:09,Dinner,BK,"[('Shrimp', 1), ('Pasta', 8), ('Fish&Chips', 6)]",484.0,-37.8181262,144.9755805,0,7.0489999999999995,14.222791599999999
ORDA06884,2018-07-19,14:35:29,Lunch,BK,"[('Fries', 8), ('Burger', 9)]",375.0,-37.8101994,145.01619480000002,0,4.216,10.0912955
ORDX08031,2018-06-29,13:54:55,Lunch,BK,"[('Fries', 5), ('Burger', 3), ('Chicken', 9), ('Salad', 5)]",527.0,-37.8279536,144.98649319999998,0,7.904,13.9467753
ORDJ04457,2018-08-28,15:56:37,Lunch,TP,"[('Chicken', 7), ('Fries', 5), ('Steak', 4)]",464.0,-37.8069024,144.9374796,0,10.488,13.5747519
ORDK07342,2018-09-14,16:27:02,Dinner,BK,"[('Fish&Chips', 9), ('Salmon', 4), ('Pasta', 8)]",699.0,-37.8126201,144.965171,0,7.474,14.1653374
ORDX04083,2018-09-03,16:06:45,Dinner,BK,"[('Salmon', 1), ('Fish&Chips', 6)]",251.0,-37.801392799999995,144.95817419999997,0,8.34,15.1195677
ORDX04882,2018-08-23,15:46:28,Lunch,BK,"[('Salad', 10), ('Fries', 9), ('Steak', 1), ('Burger', 9)]",604.0,-37.8230066,144.9876456,0,6.376,11.7876998
ORDI04621,2018-04-12,11:12:40,Breakfast,NS,"[('Cereal', 7), ('Eggs', 1)]",169.0,-37.8190672,144.9655408,0,8.613999999999999,13.2329715
ORDY05598,2018-05-17,12:23:39,Lunch,TP,"[('Steak', 10), ('Chicken', 7), ('Burger', 1), ('Fries', 4), ('Salad', 4)]",821.8,-37.799722499999994,144.9526858,0,10.088,13.5055674
ORDY04836,2018-06-08,13:14:21,Lunch,TP,"[('Burger', 6), ('Fries', 4), ('Chicken', 10), ('Salad', 2)]",588.4,-37.8047996,144.9515587,0,9.652999999999999,12.8274554
ORDB06462,2018-08-18,15:36:20,Lunch,TP,"[('Salad', 7), ('Chicken', 2), ('Steak', 5), ('Fries', 5)]",469.4,-37.8177655,144.9469248,0,9.367,14.3446264
ORDA07913,2018-01-01,08:00:00,Breakfast,BK,"[('Cereal', 5), ('Coffee', 2), ('Eggs', 9), ('Pancake', 4)]",415.0,-37.8186375,144.9827669,1,6.499,6.144671700000001
ORDA03516,2018-01-21,08:30:25,Breakfast,BK,"[('Cereal', 10), ('Coffee', 4)]",240.0,-37.8002433,144.9716936,0,7.619,14.939752800000003
ORDA04885,2018-09-01,16:06:45,Dinner,BK,"[('Shrimp', 4), ('Pasta', 9), ('Fish&Chips', 7)]",708.5,-37.8164028,144.9552605,0,8.476,17.937665600000003
ORDJ00693,2018-10-22,17:48:10,Dinner,TP,"[('Pasta', 8), ('Fish&Chips', 8)]",500.0,-37.820018700000006,144.9612976,0,7.5729999999999995,12.338405499999999
ORDY05648,2018-06-30,13:54:55,Lunch,TP,"[('Burger', 1), ('Steak', 6), ('Salad', 8), ('Chicken', 2), ('Fries', 2)]",526.6,-37.816377,145.0088781,0,11.623,15.8756066
ORDI02519,2018-12-13,19:29:34,Dinner,NS,"[('Shrimp', 10), ('Fish&Chips', 3), ('Salmon', 2)]",727.0,-37.8004946,144.9583439,0,7.282,12.7269469
ORDA07513,2018-06-05,13:04:13,Lunch,BK,"[('Chicken', 7), ('Salad', 8), ('Burger', 3)]",454.6,-37.824224900000004,145.01131909999998,0,4.975,11.0558977
ORDA01327,2018-05-13,12:23:39,Lunch,BK,"[('Salad', 4), ('Chicken', 7), ('Burger', 2), ('Fries', 10)]",474.8,-37.7951943,144.9494574,0,9.212,18.292847100000003
ORDI00999,2018-03-17,10:21:58,Breakfast,NS,"[('Coffee', 2), ('Pancake', 2)]",63.5,-37.8074851,144.9421481,0,9.387,16.6624838
ORDY00136,2018-09-14,16:27:02,Dinner,TP,"[('Shrimp', 1), ('Salmon', 10), ('Fish&Chips', 10), ('Pasta', 8)]",1034.0,-37.81385039999999,144.9573018,0,8.402999999999999,12.828633199999999
ORDJ06578,2018-11-30,18:59:09,Dinner,TP,"[('Shrimp', 1), ('Fish&Chips', 6)]",264.0,-37.802260700000005,145.0030866,0,11.974,15.7610515
ORDA04169,2018-09-13,16:27:02,Dinner,BK,"[('Salmon', 1), ('Pasta', 7), ('Shrimp', 8), ('Fish&Chips', 1)]",700.5,-37.8045416,144.91940290000002,0,11.704,18.780298600000002
ORDJ09143,2018-06-12,13:24:30,Lunch,TP,"[('Chicken', 9), ('Burger', 1), ('Salad', 4), ('Steak', 7)]",702.8,-37.803033299999996,144.946302,0,10.142999999999999,13.446829999999999
ORDX00575,2018-06-07,13:14:21,Lunch,BK,"[('Fries', 2), ('Salad', 9), ('Steak', 5), ('Chicken', 5), ('Burger', 9)]",842.8,-37.8084167,144.9520604,0,8.639,14.945998399999999
ORDB03894,2018-03-13,10:21:58,Breakfast,TP,"[('Cereal', 8), ('Coffee', 2), ('Pancake', 4), ('Eggs', 4)]",368.0,-37.814204,144.9490543,0,9.562999999999999,12.1452759
ORDI01411,2018-02-22,09:41:24,Breakfast,NS,"[('Coffee', 4), ('Eggs', 4), ('Cereal', 5), ('Pancake', 4)]",320.0,-37.8156898,145.0068825,0,10.558,15.6759532
ORDB09363,2018-03-29,10:52:23,Breakfast,TP,"[('Eggs', 1), ('Pancake', 8), ('Cereal', 2), ('Coffee', 7)]",310.5,-37.803332899999994,144.9703395,0,10.064,12.2052102
ORDK04058,2018-12-08,19:19:26,Dinner,BK,"[('Pasta', 10), ('Salmon', 2), ('Shrimp', 4)]",573.0,-37.8208592,144.94811909999999,0,9.27,19.0407372
ORDK05202,2018-03-08,10:11:49,Breakfast,BK,"[('Eggs', 1), ('Pancake', 3), ('Coffee', 3), ('Cereal', 5)]",222.25,-37.816903499999995,144.9516802,0,9.898,15.056145
ORDZ04688,2018-10-23,17:48:10,Dinner,NS,"[('Pasta', 6), ('Salmon', 7)]",452.0,-37.8197221,144.97038,0,8.766,15.076846300000001
ORDC00014,2018-03-15,10:21:58,Breakfast,NS,"[('Coffee', 1), ('Eggs', 10)]",227.5,-37.8031708,144.9484204,0,8.504,13.3615332
ORDI10996,2018-02-27,09:51:32,Breakfast,NS,"[('Cereal', 5), ('Pancake', 5), ('Eggs', 10), ('Coffee', 10)]",521.25,-37.809727200000005,144.97587719999999,0,7.79,12.8241364
ORDK04789,2018-12-31,20:00:00,Dinner,BK,"[('Shrimp', 10), ('Salmon', 7), ('Fish&Chips', 6), ('Pasta', 2)]",1092.0,-37.8070205,145.0001939,0,4.484,11.3427886
ORDY07424,2018-06-18,13:34:38,Lunch,TP,"[('Steak', 9), ('Chicken', 3)]",501.0,-37.8227967,145.00501630000002,0,11.043,14.1446049
ORDK05483,2018-04-06,11:02:32,Breakfast,BK,"[('Coffee', 5), ('Eggs', 6), ('Cereal', 3), ('Pancake', 2)]",281.0,-37.8027541,144.99499519999998,0,5.336,10.629153
ORDC06204,2018-04-27,11:53:14,Breakfast,NS,"[('Cereal', 5), ('Pancake', 10), ('Coffee', 3)]",370.0,-37.796740299999996,144.9511115,0,7.984,13.094047699999999
ORDC05278,2018-10-11,17:17:44,Dinner,NS,"[('Pasta', 7), ('Fish&Chips', 5), ('Salmon', 7)]",654.5,-37.812123799999995,144.9534288,0,8.452,14.611985199999998
ORDB00763,2018-12-20,19:39:43,Dinner,TP,"[('Pasta', 8), ('Fish&Chips', 7), ('Shrimp', 1), ('Salmon', 2)]",601.0,-37.8093376,144.94912230000003,0,9.52,13.286056699999998
ORDB01145,2018-08-31,15:56:37,Lunch,TP,"[('Chicken', 4), ('Fries', 9), ('Burger', 8), ('Salad', 10), ('Steak', 3)]",791.0,-37.808969399999995,144.9617782,0,8.687000000000001,11.812161300000001
ORDX02236,2018-03-26,10:42:15,Breakfast,BK,"[('Eggs', 5), ('Cereal', 7), ('Coffee', 2)]",272.0,-37.8142019,144.94947140000002,0,9.94,14.7801571
ORDK08920,2018-12-02,19:09:17,Dinner,BK,"[('Fish&Chips', 9), ('Pasta', 3), ('Salmon', 4)]",561.5,-37.820919700000005,144.9578977,0,8.404,17.8543562
ORDC01427,2018-09-16,16:27:02,Dinner,NS,"[('Pasta', 7), ('Fish&Chips', 8), ('Salmon', 7)]",759.5,-37.8055853,144.941927,0,9.315,17.321361
ORDZ04967,2018-08-20,15:36:20,Lunch,NS,"[('Salad', 6), ('Burger', 3), ('Steak', 9)]",601.2,-37.813016299999994,144.97396650000002,0,7.647,13.201992800000001
ORDB06035,2018-05-07,12:03:22,Lunch,TP,"[('Steak', 7), ('Chicken', 1), ('Salad', 2), ('Fries', 4)]",429.4,-37.8049951,144.9312408,0,11.707,14.9147823
ORDB04353,2018-07-08,14:15:12,Lunch,TP,"[('Burger', 2), ('Steak', 3)]",197.0,-37.8012929,144.9968149,0,11.57,15.7600074
ORDI00092,2018-02-05,09:00:50,Breakfast,NS,"[('Eggs', 3), ('Pancake', 10), ('Cereal', 5), ('Coffee', 7)]",466.0,-37.8206146,144.9837337,0,9.199,14.151205599999999
ORDJ00448,2018-12-19,19:39:43,Dinner,TP,"[('Fish&Chips', 6), ('Pasta', 10), ('Shrimp', 9)]",971.0,-37.8149836,144.9364378,0,11.395999999999999,15.5009658
ORDJ10301,2018-12-06,19:19:26,Dinner,TP,"[('Shrimp', 5), ('Fish&Chips', 7)]",515.0,-37.814188,144.9714467,0,8.413,12.279862699999999
ORDJ11104,2018-07-09,14:15:12,Lunch,TP,"[('Chicken', 1), ('Burger', 2), ('Steak', 10)]",544.0,-37.8219347,144.9554417,0,8.168,11.650332
ORDX10831,2018-03-07,10:11:49,Breakfast,BK,"[('Pancake', 8), ('Cereal', 5)]",299.0,-37.8079064,144.9730355,0,6.522,11.2377325
ORDY03619,2018-06-27,13:54:55,Lunch,TP,"[('Steak', 1), ('Fries', 5)]",105.0,-37.82492979999999,144.9848718,0,8.945,11.967018
